"","name","concept_id"
"1","A07AA01_neomycin_oral_antidiarrheals_intestinal_antiinflammatory_antiinfective_agents_antibiotics","916389, 21042747, 21052531, 21081951, 40167223, 40167224, 40168063, 40835045, 40884571, 41029808, 41084704, 41103005, 41171937, 41178490, 41209906, 41248658, 43263419, 43279764, 43852716, 1234434, 19110964, 21023073, 21032836, 21130880, 21150680, 21170417, 40072294, 40072299, 40990910, 41049973, 41240898, 41279429, 43762452, 43762453, 43834750, 915981, 1234433, 19103313, 21072252, 21091712, 21101590, 40072300, 40168064, 40831776, 40915515, 40920165, 41009208, 41053140, 41060977, 41084705, 41296341, 43290598, 43290599, 43618614, 43672913, 43744584, 44101534, 21600603, 916210, 21062339, 21072253, 21081950, 21121119, 40835047, 40866184, 41060978, 41178492, 41178493, 41279430, 43257996, 43600600, 43618613, 43672912, 43834749"
"2","A07AA04_streptomycin_oral","21600606, 19112069, 40079412, 19103314, 1836191"
"3","A07AA08_kanamycin_oral","19033989, 35154834, 35159697, 1784769, 19084807, 35130107, 35150758, 35150804, 35156424, 35159463, 40951469, 41178994, 41267327, 1784749, 35144571, 35160397, 35160961, 40053582, 21600610, 1784771, 35132399, 35137193, 35142810, 35160896, 40053583, 40897824"
"4","A07AA09_vancomycin_oral","964086, 964092, 964093, 1707687, 1707777, 1707779, 2052994, 2052999, 19041075, 19086193, 19117668, 21022688, 21052136, 21052137, 21071861, 21091308, 21091309, 21111049, 21120716, 21126153, 21160220, 21165634, 21170012, 21170013, 35147753, 35154382, 35897506, 35897507, 36062229, 36062232, 36062233, 36062234, 36062236, 36259280, 36259851, 36266017, 36276593, 36789696, 36959399, 36964091, 40087258, 40751888, 40752929, 40752933, 40752985, 40827646, 40831176, 40839201, 40864868, 40870297, 40870299, 40890244, 40896086, 40901405, 40932491, 40932495, 40955860, 40963740, 40963741, 40987088, 40995013, 41018088, 41038122, 41038123, 41038125, 41038126, 41045924, 41045926, 41051776, 41057261, 41057265, 41057270, 41077348, 41083359, 41088788, 41088790, 41088799, 41112085, 41112086, 41119989, 41132193, 41143639, 41146161, 41151584, 41151588, 41151594, 41151595, 41171257, 41182648, 41182650, 41182653, 41194845, 41206188, 41213974, 41213986, 41225871, 41233729, 41244931, 41244938, 41244939, 41256758, 41275880, 41295595, 41306970, 41319219, 41440390, 41440455, 42971955, 43584996, 43693086, 43693087, 43711010, 43723243, 43837185, 44033593, 44061972, 44087553, 44100572, 44200185, 45776381, 1707747, 1707776, 2052993, 2052995, 2052998, 2053001, 2053002, 19025859, 19042025, 19079834, 19117667, 21042351, 21052134, 21061947, 21120714, 21140444, 21150294, 21160219, 21170014, 35153005, 35157984, 35830194, 36062231, 36062235, 36789688, 36885456, 36921965, 36936658, 36940607, 36969366, 40165385, 40221357, 40752934, 40831178, 40839202, 40839207, 40870306, 40870309, 40882428, 40890245, 40913441, 40927063, 40932489, 40932492, 40932494, 40955859, 40963739, 40963742, 40995010, 41018089, 41026092, 41026096, 41026097, 41038124, 41057262, 41057263, 41057264, 41057271, 41088791, 41088795, 41100866, 41108746, 41112087, 41119983, 41119987, 41119993, 41132190, 41132191, 41146162, 41151585, 41151589, 41163522, 41171258, 41171261, 41182651, 41182662, 41194838, 41194840, 41194844, 41206189, 41213973, 41213979, 41213980, 41225870, 41225872, 41233728, 41233730, 41264498, 41270408, 41275872, 41275876, 41287794, 41319222, 41365243, 41372564, 41444397, 43268694, 43584998, 43764878, 44111114, 44113433, 44118243, 44126582, 44161501, 44177998, 44184048, 44200178, 44200960, 44815858, 964095, 1707751, 1707774, 19025858, 19112780, 21022686, 21022687, 21032445, 21052135, 21077300, 21081546, 21081550, 21091312, 21120715, 21155827, 21155829, 21160218, 21170011, 35155996, 35886509, 35886510, 36062230, 36275219, 36892340, 36923440, 36933269, 36951866, 40087256, 40221354, 40752930, 40752945, 40827647, 40831177, 40870298, 40870305, 40896087, 40901400, 40921211, 40932490, 40932493, 40944727, 40975669, 40987089, 40989604, 40995011, 40995012, 40995014, 40995019, 41007041, 41038119, 41038120, 41038121, 41051778, 41069377, 41069378, 41069380, 41100861, 41108743, 41108748, 41119984, 41132186, 41132189, 41132192, 41151586, 41151592, 41163526, 41174610, 41182657, 41194836, 41194837, 41194839, 41194842, 41202698, 41208613, 41213976, 41213981, 41233732, 41244932, 41244934, 41256756, 41256757, 41270409, 41270412, 41275871, 41275873, 41275874, 41287792, 41287796, 41295593, 41306969, 41440409, 41444324, 41444341, 42971896, 42971897, 43136035, 43295828, 43639153, 43746932, 43849422, 43855107, 43855113, 44027668, 44072453, 44100573, 44160957, 44169111, 44176021, 44179607, 44200186, 44200965, 44200972, 21600611, 964088, 964089, 964094, 1707775, 1971595, 2052997, 19096053, 19124227, 21022689, 21042352, 21042353, 21061942, 21091313, 21091314, 21111042, 21111048, 21120707, 21165633, 35130708, 35897508, 35897509, 36789689, 36789695, 36884667, 36933062, 36942740, 36944211, 36953360, 36966720, 40087253, 40087255, 40087257, 40710058, 40824074, 40827648, 40851162, 40851163, 40858934, 40870300, 40870307, 40870308, 40882426, 40882427, 40901396, 40901397, 40901398, 40901399, 40913443, 40921212, 40927064, 40944724, 40952379, 40963744, 40975666, 40987087, 41014758, 41014759, 41026093, 41026094, 41038127, 41069379, 41077347, 41083357, 41088789, 41108742, 41114587, 41119985, 41119986, 41119994, 41132187, 41132188, 41143640, 41151587, 41151591, 41163523, 41171256, 41171259, 41171260, 41177096, 41182649, 41182652, 41182661, 41182663, 41194841, 41202699, 41208615, 41208616, 41213972, 41213975, 41233731, 41237065, 41244933, 41268065, 41287793, 41295594, 41299041, 41306971, 41306972, 41306980, 41319218, 41319220, 41319224, 41362827, 41369825, 41440421, 41440461, 41444357, 41444413, 42655682, 42655685, 43191007, 43675367, 43728995, 43783048, 43795208, 43800882, 43837184, 44082182, 44095193, 44100574, 44118244, 44161502, 44200179, 44200183, 44200962, 44200969, 45776382"
"5","A07AA11_rifaximin_oral","1735950, 2917983, 2917984, 2917985, 2917986, 19069918, 19111723, 21026390, 21046015, 21055771, 21055773, 21075557, 21134244, 21163865, 21173673, 35137546, 35861047, 35861056, 35861179, 35861186, 35861188, 35861189, 35861190, 36405689, 36406813, 36782190, 40718306, 40883468, 40976693, 41101858, 41226962, 43623199, 43641392, 43695385, 43713216, 43713217, 43767162, 43785236, 44082398, 44113912, 19111724, 21055770, 21065612, 21104931, 21114734, 21154082, 21163866, 35861045, 35861046, 35861048, 35861053, 35861176, 35861185, 35861192, 35861194, 36061912, 36404981, 36407257, 36412008, 36782183, 36782188, 40099053, 40163816, 40163819, 40852178, 40872037, 40903048, 41049657, 41070425, 41115208, 41133196, 41140427, 41257773, 41277507, 41320222, 42927763, 43275121, 43605320, 43803163, 43857451, 44027922, 21600613, 1735948, 21026389, 21046016, 21085276, 21128057, 35148887, 35154918, 35861042, 35861043, 35861049, 35861051, 35861054, 35861055, 35861178, 35861181, 35861182, 35861183, 35861193, 35861196, 36061914, 36782184, 36782185, 36782187, 36782189, 40976692, 41226961, 41277508, 42927764, 42927765, 43285905, 44124590, 44163206, 1735947, 19105360, 21075556, 21075558, 21095064, 21134245, 35861044, 35861050, 35861052, 35861175, 35861177, 35861180, 35861184, 35861187, 35861191, 35861195, 36061913, 36061915, 36263653, 36407593, 36407594, 36408053, 36782186, 36782191, 36782192, 36782193, 40099052, 40113076, 40163817, 40163818, 40852179, 40903049, 41090543, 41133195, 41195882, 41195883, 41215624, 41257774, 41288843, 43605321"
"6","A07AA12_fidaxomicin_oral","2908818, 21066568, 21095988, 21095989, 35828750, 36120816, 36956847, 41010905, 43157962, 43179915, 21037073, 21076476, 35828751, 36120815, 36937219, 40239985, 40239988, 41136171, 41198775, 43146723, 43276350, 2908819, 21056723, 35828752, 36922815, 36930897, 36931112, 36953174, 37498813, 37498814, 37498815, 40239991, 41260622, 43212706, 43292554, 44037500, 44171354, 43534745, 21125278, 35746598, 36949241, 37498811, 37498816, 37498818, 40239986, 40239987, 40239989, 40239990, 40979557, 41010904, 43157960, 43157961, 43265362"
"7","A07AA13_rifamycin_systemic","715872, 1355895, 1355902, 1355905, 1355898, 1355899, 1355901, 19035924, 19136008"
"8","J01AA01_demeclocycline_oral","21602799, 2918160, 21036788, 21036789, 21067853, 21076163, 21087428, 21115345, 21124943, 21154678, 36887545, 40025469, 40173351, 40173353, 40173358, 40732006, 40867980, 40949353, 40972090, 40985262, 40992733, 41003452, 41128574, 41145126, 41191152, 41222264, 41401986, 43673796, 43693003, 43771121, 43771158, 43788796, 44115434, 44128614, 2918159, 21066245, 21095647, 21115344, 21124942, 21134868, 21134869, 21144749, 21144750, 21174267, 36939654, 40025468, 40173354, 40173356, 40732005, 40732008, 40860632, 40899042, 40899043, 40961495, 41034568, 41065694, 41117748, 41128577, 41180302, 41242630, 41242631, 41361449, 41365166, 41367421, 43150658, 43150659, 43205685, 43216582, 43620926, 43626661, 43626978, 43745423, 43771122, 43843321, 43853591, 44115435, 21038375, 21056423, 21056424, 21076164, 21095646, 21107088, 21134865, 21134866, 21134867, 36937936, 36949480, 36955929, 36957046, 40025470, 40173352, 40173355, 40173357, 40173359, 40732007, 40847650, 40972088, 40972089, 41034567, 41065695, 41079052, 41086482, 41097235, 41128576, 41180303, 41253219, 41273523, 41273524, 41367750, 41402435, 41402772, 41402866, 43032035, 43216581, 43584912, 43645327, 43657147, 43746836, 43807083, 44037875, 1714527, 21026974, 21028568, 21036790, 21107087, 21134871, 40732004, 40836842, 40847649, 40899044, 40941136, 41023695, 41023696, 41034569, 41086483, 41097236, 41128575, 41160007, 41300520, 41315469, 41370060, 41373095, 41401672, 41402222, 43139693, 43590702, 43716594, 43763348, 43799349, 43800807, 43825050"
"9","J01AA03_chlortetracycline_oral","19095048, 40030828, 40910576, 41024142, 41076920, 41129335, 41149645, 41191932, 41204644, 41212123, 41243066, 41363705, 41493561, 44168495, 44181325, 44183856, 44208321, 44208322, 19024441, 19116395, 40030829, 40030830, 40899487, 40924175, 40926246, 40961902, 40972873, 41014378, 41016546, 41097998, 41160800, 41191933, 41212126, 41243067, 41361478, 41371593, 41493553, 41493563, 41493565, 44170120, 44183270, 44208317, 44208318, 19095047, 19095061, 19117396, 40824558, 41047861, 41097999, 41202289, 41370843, 41493558, 44176395, 44187612, 44188910, 44208316, 44208323, 21602801, 19075279, 19095043, 19095064, 19095065, 40868421, 40930633, 40961901, 41035297, 41066479, 41160803, 41235588, 41253952, 41493556, 41493559, 41493566, 44183857, 44188911, 44208315, 44208320"
"10","J01AA04_lymecycline_systemic","21602802, 19001253, 19006595, 19092357, 21035344, 21045197, 21084495, 21094221, 21094222, 21104185, 21123579, 21123581, 21133452, 21133454, 21153300, 21163147, 21172870, 35884561, 36059474, 36262183, 40001081, 40724067, 40724069, 40724070, 19006594, 19092353, 19092354, 19092356, 19098891, 19101963, 19110718, 21025590, 21055023, 21074798, 21113960, 21133453, 21143379, 21153299, 21163145, 21163146, 35884562, 35884563, 36059476, 36257707, 36271161, 36927654, 40724064, 43158082, 43201988, 43212832, 19062261, 19103286, 19116103, 21025589, 21035346, 21055022, 21113961, 21123582, 21133451, 21143378, 36059473, 36059475, 36962621, 40001082, 40724062, 40724066, 40724068, 43158083, 21025591, 21035345, 21084496, 21094220, 21094223, 21123577, 21123578, 21123580, 21133450, 36259609, 36262779, 36268921, 40724063, 40724065, 43168963, 43190931, 43201989, 43212831"
